artist
The Everly Brothers
Lale Anderson
Paul Anka
The Olympics
Chubby Checker
Nat Kendrick And The Swans
Webb Pierce
Ramrods
Skeeter Davis
Steve Lawrence
The Olympics
Tab Hunter
The Drifters
Chuck Jackson
Gino & Gina
Bill Doggett
Ferrante & Teicher
Tommy Edwards
Elvis Presley With The Jordanaires
Paul Evans and the Curls
Brian Hyland
Ferrante & Teicher
Mantovani & His Orchestra
Lawrence Welk And His Orchestra
Henry Mancini And His Orchestra
Dorsey Burnette
Pat Boone
Lloyd Price and His Orchestra
Marv Johnson
The Crests
The Big Sound Of Don Ralke
Elvis Presley With The Jordanaires
Johnny Mathis
Jimmy Witter
The Limeliters
Ike & Tina Turner
The Chordettes
Scott Garrett
Dale Hawkins
Gene McDaniels
Jimmy Clanton
The Jarmels
Jack Scott
Dion & The Belmonts
Clyde McPhatter
Elvis Presley With The Jordanaires
Jimmy Clanton
Frankie Avalon
Little Anthony And The Imperials
Dinah Washington & Brook Benton
Andy Stewart
Gene McDaniels
Denny Reed
Dion & The Belmonts
Anita Bryant
The Heartbeats
Kathy Young With The Innocents
Jerry Wallace
The Kingston Trio
The Crests
Fabian
Paul Anka
Bing Crosby
Cannonball Adderley Orchestra
Marv Johnson
The Miracles
Fats Domino
Frankie Ford
The Everly Brothers
Frankie Avalon
Johnny Cash
Marv Johnson
Hollywood Argyles
Chuck Berry
Faron Young
The Coasters
Peggy Lee
David Seville And The Chipmunks
David Seville And The Chipmunks
David Seville And The Chipmunks
Sammy Turner
Jim Reeves
Debbie Reynolds
Linda Laurie
Connie Francis
Ronnie Savoy
Jimmy Darren
Johnny Ferguson
Jorgen Ingmann & His Guitar
Jimmy Clanton
Chuck Berry
Teresa Brewer
Jorgen Ingmann & His Guitar
June Valli
Elvis Presley With The Jordanaires
Jaye P. Morgan
Jimmie Rodgers
Bobby Darin
Adam Wade
Johnny Nash
Kokomo
Dee Clark
Dinah Washington & Brook Benton
The Echoes
Little Richard
Buzz Clifford
Jan & Dean
Mickey & Sylvia
Dorothy Collins
The Rondels
Chuck Berry
Marty Wilde
The Miracles
The Kingston Trio
Graduates
Marty Robbins
Jan And Kjeld
The Temptations
The Regents
The Mormon Tabernacle Choir
Fred Darian
The Kirby Stone Four
The Everly Brothers
Paris Sisters
Fats Domino
Roger Smith
Bobby Darin
Johnny And The Hurricanes
Chuck Berry
Sir Chauncey and his exciting strings
Duane Eddy And The Rebels
Jimmie Rodgers
The Playmates
Fats Domino
Louis Prima And Keely Smith
Royal Teens
Billy & Lillie
The Coasters
The Starlets
Bobby Freeman
Jerry Fuller
Pat Boone
Johnny Burnette
Big Bopper
Jimmy Reed
The Olympics
The Redjacks
Pat Boone
Jill Corey
The Four Preps
Claude King
Jim Reeves
Jimmie Rodgers
Danny Valentino
The Everly Brothers
Nicola Paone
Tony Orlando
Don Gibson
Jim Reeves
The Browns Featuring Jim Edward Brown
Billy Vaughn And His Orchestra
The Marcels
Tommy Sands And The Raiders
Bill Black's Combo
Billy Vaughn And His Orchestra
The Statues
Mitch Miller and his Orchestra and Chorus
Neil Scott
Frankie Avalon
Al Caiola And His Orchestra
Billy Grammer
Preston Epps
Preston Epps
Chet Atkins
Boyd Bennett
B. Bumble & The Stingers
Stan Robinson
Poni-Tails
Bobby Helms
The String-A-Longs
Jerry Lee Lewis And His Pumping Piano
Connie Francis
Jivin' Gene And The Jokers
The Miracles
Sarah Vaughan
The Piltdown Men
Paul Peek
The Fireballs
Cyclones
B. Bumble & The Stingers
The Applejacks
Jack Scott
Clarence Henry
Freddy Cannon
Jimmy Bowen with the Rhythm Orchids
Mary Wells
Conway Twitty
Eddie Cochran
Lawrence Welk And His Orchestra
Neil Sedaka
Joe Jones
Johnny Mathis
Etta Jones
Roy Orbison
Pat Boone
Marty Robbins
Mitchell Torok
Chuck Berry
The Johnny Otis Show
The Everly Brothers
Boots Brown And His Blockbusters
Sam Cooke
Big Bopper
The Dubs
The Champs
The Sevilles
Ernie Fields & Orch.
Freddy Cannon
Bobby Rydell
Charlie Mccoy
Skip And Flip
Jerry Murad's Harmonicats
Addrisi Brothers
Ronnie Love And His Orchestra
Eddy Arnold
Bobby Darin
Jacky Noguez And His Musette Orchestra
Billy Vaughn And His Orchestra
The Four Preps
The Beau-Marks
Jan & Dean
Jimmy Reed
Maurice Williams & The Zodiacs
Jimmy Clanton
Nat King Cole
Johnny Cash And The Tennessee Two
Lloyd Price and His Orchestra
Fabian
Tony Dallara
Polly Bergen
The Fleetwoods
Marv Johnson
Mel Gadson
The Kingston Trio
Jack Scott
Fats Domino
Ray Peterson
Fats Domino
Lolita
Bo Diddley
Johnny Preston
Bob Beckham
Johnny Otis
The Knightsbridge Strings
Bobby Bland
Janice Harper
Roy Orbison
Shep And The Limelites
The Olympics
Betty Madigan
Paul Anka
The Drifters
The Bobbettes
Sil Austin
The Knockouts
Al Martino
Johnny Crawford
Pat Boone
Wink Martindale
Perry Como
Pat Boone
Jim Backus & Friend
Bobby Vee
The Everly Brothers
Janice Harper
Jerry Wallace
The Paradons
Bobby Rydell
Andy Williams
Mitch Miller
Lonnie Donegan And His Skiffle Group
Elvis Presley With The Jordanaires
Bill Black's Combo
Linda Scott
Fats Domino
Bobby Bland
Ruth Brown
Crash Craddock
Tommy Edwards
The Butanes
The Playmates
Etta Jones
Debbie Dean
Frankie Avalon
Dion & The Belmonts
Patti Page
The Mystics
Johnny Cash
Don Gibson
Frankie Avalon
Marty Robbins
Della Reese
"Huey ""piano"" Smith With His Clowns"
Andy Stewart
Ritchie Valens
Les Compagnons De La Chanson
The Four Preps
Jimmy Reed
Ike Clanton
The Quin-Tones
Johnny Cash And The Tennessee Two
Johnny And The Hurricanes
Etta James
Annette With The Afterbeats
Bobby Darin
Johnny Burnette
Johnny Tillotson
The Drifters
Duane Eddy And The Rebels
Junior Parker
Brenda Lee
