date,title,artist,peak_pos,rank,weeks
1980-01-02,Please Don't Go,KC And The Sunshine Band,1.0,1.0,20.0
1980-01-02,Escape (The Pina Colada Song),Rupert Holmes,1.0,2.0,12.0
1980-01-02,Rock With You,Michael Jackson,3.0,3.0,10.0
1980-01-02,Send One Your Love,Stevie Wonder,4.0,4.0,10.0
1980-01-02,Do That To Me One More Time,Captain & Tennille,5.0,5.0,12.0
1980-01-02,Babe,Styx,1.0,6.0,14.0
1980-01-02,Still,Commodores,1.0,7.0,15.0
1980-01-02,Coward Of The County,Kenny Rogers,8.0,8.0,8.0
1980-01-02,Ladies Night,Kool & The Gang,9.0,9.0,14.0
1980-01-02,We Don't Talk Anymore,Cliff Richard,10.0,10.0,12.0
1980-01-02,Cool Change,Little River Band,11.0,11.0,12.0
1980-01-02,Cruisin',Smokey Robinson,12.0,12.0,14.0
1980-01-02,The Long Run,Eagles,13.0,13.0,5.0
1980-01-02,Head Games,Foreigner,14.0,14.0,9.0
1980-01-02,Better Love Next Time,Dr. Hook,15.0,15.0,13.0
1980-01-02,Jane,Jefferson Starship,16.0,16.0,10.0
1980-01-02,I Wanna Be Your Lover,Prince,17.0,17.0,7.0
1980-01-02,This Is It,Kenny Loggins,18.0,18.0,12.0
1980-01-02,I Want You Tonight,Pablo Cruise,19.0,19.0,13.0
1980-01-02,You're Only Lonely,J.D. Souther,7.0,20.0,18.0
1980-01-02,No More Tears (Enough Is Enough),Barbra Streisand/Donna Summer,1.0,21.0,12.0
1980-01-02,Don't Do Me Like That,Tom Petty And The Heartbreakers,22.0,22.0,8.0
1980-01-02,Wait For Me,Daryl Hall John Oates,23.0,23.0,11.0
1980-01-02,Don't Let Go,Isaac Hayes,24.0,24.0,11.0
1980-01-02,Sara,Fleetwood Mac,25.0,25.0,4.0
1980-01-02,Take The Long Way Home,Supertramp,10.0,26.0,13.0
1980-01-02,Damned If I Do,The Alan Parsons Project,27.0,27.0,15.0
1980-01-02,Third Time Lucky (First Time I Was A Fool),Foghat,28.0,28.0,8.0
1980-01-02,Deja Vu,Dionne Warwick,29.0,29.0,9.0
1980-01-02,Chiquitita,ABBA,30.0,30.0,9.0
1980-01-02,"Yes, I'm Ready",Teri DeSario With K.C.,31.0,31.0,8.0
1980-01-02,Pop Muzik,M,1.0,32.0,22.0
1980-01-02,Half The Way,Crystal Gayle,15.0,33.0,15.0
1980-01-02,Heartache Tonight,Eagles,1.0,34.0,14.0
1980-01-02,Romeo's Tune,Steve Forbert,35.0,35.0,6.0
1980-01-02,Rotation,Herb Alpert,36.0,36.0,8.0
1980-01-02,Rapper's Delight,Sugarhill Gang,37.0,37.0,9.0
1980-01-02,"Train, Train",Blackfoot,38.0,38.0,12.0
1980-01-02,I'd Rather Leave While I'm In Love,Rita Coolidge,39.0,39.0,8.0
1980-01-02,Forever Mine,The O'Jays,40.0,40.0,7.0
1980-01-02,Savannah Nights,Tom Johnston,41.0,41.0,8.0
1980-01-02,Fool In The Rain,Led Zeppelin,42.0,42.0,3.0
1980-01-02,Crazy Little Thing Called Love,Queen,43.0,43.0,3.0
1980-01-02,Voices,Cheap Trick,44.0,44.0,5.0
1980-01-02,Why Me,Styx,45.0,45.0,4.0
1980-01-02,You Know That I Love You,Santana,46.0,46.0,7.0
1980-01-02,She's In Love With You,Suzi Quatro,47.0,47.0,7.0
1980-01-02,Do You Love What You Feel,Rufus And Chaka Khan,48.0,48.0,7.0
1980-01-02,Mistrusted Love,Mistress,49.0,49.0,9.0
1980-01-02,Lonely Eyes,Robert John,50.0,50.0,5.0
1980-01-02,Lost Her In The Sun,John Stewart,51.0,51.0,5.0
1980-01-02,Dig The Gold,Joyce Cobb,52.0,52.0,7.0
1980-01-02,Last Train To London,Electric Light Orchestra,53.0,53.0,5.0
1980-01-02,September Morn',Neil Diamond,54.0,54.0,3.0
1980-01-02,Money,The Flying Lizards,55.0,55.0,6.0
1980-01-02,Daydream Believer,Anne Murray,56.0,56.0,3.0
1980-01-02,Move Your Boogie Body,Bar-Kays,57.0,57.0,5.0
1980-01-02,Wonderland,Commodores,58.0,58.0,4.0
1980-01-02,An American Dream,The Dirt Band,59.0,59.0,5.0
1980-01-02,Dirty Water,The Inmates,60.0,60.0,5.0
1980-01-02,Looks Like Love Again,Dann Rogers,61.0,61.0,4.0
1980-01-02,"Working My Way Back To You/Forgive Me, Girl",The Spinners,62.0,62.0,4.0
1980-01-02,Glide,Pleasure,63.0,63.0,5.0
1980-01-02,Ships,Barry Manilow,9.0,64.0,13.0
1980-01-02,Heartbreaker,Pat Benatar,65.0,65.0,3.0
1980-01-02,When I Wanted You,Barry Manilow,66.0,66.0,4.0
1980-01-02,Longer,Dan Fogelberg,67.0,67.0,4.0
1980-01-02,Stargazer,Peter Brown,68.0,68.0,4.0
1980-01-02,I Need A Lover,John Cougar,28.0,69.0,13.0
1980-01-02,Memorize Your Number,Leif Garrett,70.0,70.0,4.0
1980-01-02,Star,"Earth, Wind & Fire",71.0,71.0,3.0
1980-01-02,Can We Still Be Friends,Robert Palmer,72.0,72.0,3.0
1980-01-02,99,Toto,73.0,73.0,3.0
1980-01-02,The Second Time Around,Shalamar,74.0,74.0,5.0
1980-01-02,You're Gonna Get What's Coming,Bonnie Raitt,75.0,75.0,5.0
1980-01-02,I Don't Want To Talk About It,Rod Stewart,76.0,76.0,3.0
1980-01-02,"I Can't Help Myself (Sugar Pie, Honey Bunch)",Bonnie Pointer,77.0,77.0,3.0
1980-01-02,Shooting Star,Dollar,78.0,78.0,3.0
1980-01-02,Don't Make Me Over,Jennifer Warnes,79.0,79.0,3.0
1980-01-02,Volcano,Jimmy Buffett,80.0,80.0,3.0
1980-01-02,I'm Alive,Gamma,81.0,81.0,1.0
1980-01-02,Broken Hearted Me,Anne Murray,12.0,82.0,16.0
1980-01-02,Flirtin' With Disaster,Molly Hatchet,83.0,83.0,1.0
1980-01-02,Video Killed The Radio Star,The Buggles,40.0,84.0,9.0
1980-01-02,Make Believe It's Your First Time,Bobby Vinton,85.0,85.0,1.0
