title,artist,weeks,peak_rank,date,peak_year
"""Yep!""",Duane Eddy His Twangy Guitar And The Rebels,9.0,30.0,1959-03-25,1959
'Til,The Angels,14.0,14.0,1961-10-11,1961
('til) I Kissed You,The Everly Brothers,16.0,4.0,1959-08-12,1959
(1-2-3-4-5-6-7) Count The Days,Inez & Charlie Foxx,5.0,76.0,1968-01-10,1968
(A Ship Will Come) Ein Schiff Wird Kommen,Lale Anderson,4.0,88.0,1961-04-19,1961
(All Of A Sudden) My Heart Sings,Mel Carter,7.0,38.0,1965-10-27,1965
(All of a Sudden) My Heart Sings,Paul Anka,17.0,15.0,1958-12-17,1958
(Baby) Hully Gully,The Olympics,7.0,72.0,1960-01-27,1960
(Come 'round Here) I'm The One You Need,The Miracles,9.0,17.0,1966-11-02,1966
(Dance The) Mess Around,Chubby Checker,7.0,24.0,1961-04-19,1961
(Dance With The) Guitar Man,Duane Eddy and the Rebelettes,16.0,12.0,1962-10-03,1962
(Do The New) Continental,The Dovells,10.0,37.0,1962-01-24,1962
(Do The) Mashed Potatoes (Part 1),Nat Kendrick And The Swans,2.0,84.0,1960-02-10,1960
(Doin' The) Lovers Leap,Webb Pierce,2.0,93.0,1960-04-20,1960
(Down At) Papa Joe's,The Dixiebelles,13.0,9.0,1963-09-25,1963
(Ghost) Riders In The Sky,Ramrods,9.0,30.0,1961-01-04,1961
"(Girls, Girls, Girls) Made To Love",Eddie Hodges,11.0,14.0,1962-06-20,1962
(He's My) Dreamboat,Connie Francis,9.0,14.0,1961-09-20,1961
(He's) Raining In My Sunshine,Jay & The Americans,4.0,90.0,1966-11-23,1966
(He's) The Great Impostor,The Fleetwoods,8.0,30.0,1961-09-06,1961
(Here They Come) From All Over The World,Jan & Dean,5.0,56.0,1965-03-10,1965
(How Can I Write On Paper) What I Feel In My Heart,Jim Reeves,2.0,92.0,1961-11-29,1961
(I Can Feel Your Love) Slipping Away,Barbara Mason,1.0,97.0,1968-09-11,1968
(I Can't Get No) Satisfaction,The Rolling Stones,14.0,1.0,1965-06-09,1965
(I Can't Help You) I'm Falling Too,Skeeter Davis,7.0,39.0,1960-08-17,1960
(I Cried at) Laura's Wedding,Barbara Lynn,8.0,68.0,1963-08-07,1963
(I Do The) Shimmy Shimmy,Bobby Freeman,13.0,37.0,1960-08-10,1960
(I Don't Care) Only Love Me,Steve Lawrence,4.0,62.0,1959-05-13,1959
(I Know) I'm Losing You,The Temptations,10.0,8.0,1966-11-16,1966
(I Love You) Don't You Forget It,Perry Como,9.0,39.0,1963-05-29,1963
(I Wanna) Dance With The Teacher,The Olympics,5.0,71.0,1958-12-03,1958
(I Wanna) Love My Life Away,Gene Pitney,8.0,39.0,1961-01-25,1961
(I Wanna) Testify,The Parliaments,13.0,20.0,1967-06-28,1967
(I Washed My Hands In) Muddy Water,Johnny Rivers,8.0,19.0,1966-06-08,1966
(I was) Born To Cry,Dion,7.0,42.0,1962-04-18,1962
(I'll Be With You In) Apple Blossom Time,Tab Hunter,11.0,31.0,1959-01-28,1959
(I'm A) Road Runner,Jr. Walker & The All Stars,12.0,20.0,1966-04-06,1966
(I'm Just A) Fool For You,Gene Chandler,2.0,88.0,1966-03-16,1966
(I'm Not Your) Steppin' Stone,The Monkees,8.0,20.0,1966-12-14,1966
(I'm So) Afraid Of Losing You Again,Charley Pride,6.0,74.0,1969-11-05,1969
(I'm Watching) Every Little Move You Make,Little Peggy March,3.0,84.0,1964-01-29,1964
(I've Got) Bonnie,Bobby Rydell,11.0,18.0,1962-02-14,1962
(I've Got) Spring Fever,Little Willie John,5.0,71.0,1961-05-10,1961
"(If You Cry) True Love, True Love",The Drifters,11.0,33.0,1959-10-28,1959
(It Never Happens) In Real Life,Chuck Jackson,7.0,46.0,1961-04-05,1961
(It's Been A Long Time) Pretty Baby,Gino & Gina,1.0,46.0,1958-01-01,1958
(It's No) Sin,The Duprees featuring Joey Vann,5.0,74.0,1964-01-22,1964
(Just Like) Romeo & Juliet,The Reflections,12.0,6.0,1964-04-08,1964
(Let's Do) The Hully Gully Twist,Bill Doggett,3.0,66.0,1960-12-21,1960
(Loneliness Made Me Realize) It's You That I Need,The Temptations,9.0,14.0,1967-10-11,1967
(Love Is Like A) Baseball Game,The Intruders,9.0,26.0,1968-07-03,1968
(Love Theme From) One Eyed Jacks,Ferrante & Teicher,7.0,37.0,1961-03-15,1961
"(Mama Come Quick, and Bring Your) Lickin' Stick",George Torrence & The Naturals,2.0,91.0,1968-02-14,1968
(Marie's The Name) His Latest Flame,Elvis Presley,11.0,4.0,1961-08-23,1961
(My Girl) Sloopy,Little Caesar And The Consuls,8.0,50.0,1965-08-11,1965
(Native Girl) Elephant Walk,Donald Jenkins & The Delighters,8.0,64.0,1963-09-11,1963
(New In) The Ways Of Love,Tommy Edwards,9.0,47.0,1959-11-11,1959
(Night Time Is) The Right Time,Ray Charles with the Raylettes,1.0,95.0,1959-02-04,1959
(Now and Then There's) A Fool Such As I,Elvis Presley With The Jordanaires,15.0,2.0,1959-03-18,1959
(One Of These Days) Sunday's Gonna' Come On Tuesday,The New Establishment,2.0,92.0,1969-11-26,1969
(Open Up The Door) Let The Good Times In,Dean Martin,6.0,55.0,1966-12-14,1966
(Quarter To Four) Stomp,The Stompers,1.0,100.0,1962-02-28,1962
(Remember Me) I'm The One Who Loves You,Dean Martin,7.0,32.0,1965-05-19,1965
(Say) You're My Girl,Roy Orbison,7.0,39.0,1965-07-07,1965
"(See You At The) ""Go-Go""",Dobie Gray,7.0,69.0,1965-03-31,1965
(Seven Little Girls) Sitting In The Back Seat,Paul Evans and the Curls,18.0,9.0,1959-09-09,1959
(She's) Some Kind Of Wonderful,The Fantastic Johnny C,2.0,87.0,1968-11-13,1968
(Sittin' On) The Dock Of The Bay,Otis Redding,16.0,1.0,1969-06-25,1969
(Such An) Easy Question,Elvis Presley With The Jordanaires,8.0,11.0,1965-06-16,1965
(Sweet Sweet Baby) Since You've Been Gone,Aretha Franklin,12.0,5.0,1968-02-28,1968
(That's) What The Nitty Gritty Is,Shirley Ellis,6.0,72.0,1964-02-19,1964
(The Bees Are For The Birds) The Birds Are For The Bees,The Newbeats,7.0,50.0,1965-03-31,1965
(The Best Part Of) Breakin' Up,The Ronettes,8.0,39.0,1964-04-01,1964
(The Clickity Clack Song) Four Little Heels,Brian Hyland,3.0,73.0,1960-10-05,1960
(The Lament Of The Cherokee) Indian Reservation,Don Fardon,9.0,20.0,1968-08-28,1968
(The Lights Went Out In) Massachusetts,Bee Gees,8.0,11.0,1967-11-08,1967
(The Man Who Shot) Liberty Valance,Gene Pitney,13.0,4.0,1962-04-25,1962
(The Puppet Song) Whiskey On A Sunday,The Irish Rovers,7.0,75.0,1968-06-19,1968
"(The Story Of) Woman, Love And A Man (Part 1)",Tony Clarke,1.0,88.0,1964-03-11,1964
"(Theme From) ""Goodbye Again""",Ferrante & Teicher,4.0,85.0,1961-06-07,1961
(Theme From) Any Number Can Win,Jimmy Smith,1.0,96.0,1963-10-30,1963
(Theme From) Silver City,The Ventures,3.0,83.0,1961-08-23,1961
(Theme From) The Sundowners,Mantovani & His Orchestra,1.0,93.0,1960-11-02,1960
(Theme From) Valley Of The Dolls,Dionne Warwick,13.0,2.0,1968-01-17,1968
"(Theme from) ""The Dark At The Top Of The Stairs""",Ernie Freeman,6.0,70.0,1960-10-19,1960
(Theme from) A Summer Place,Dick Roman,7.0,64.0,1962-08-01,1962
(Theme from) My Three Sons,Lawrence Welk And His Orchestra,7.0,55.0,1961-03-15,1961
(Theme from) The Great Impostor,Henry Mancini And His Orchestra,1.0,90.0,1961-03-29,1961
(There Was A) Tall Oak Tree,Dorsey Burnette,15.0,23.0,1960-01-27,1960
(There'll Come A Day When) Ev'ry Little Bit Hurts,Bobby Vee,5.0,84.0,1964-12-09,1964
(There's) Always Something There To Remind Me,Lou Johnson,7.0,49.0,1964-11-25,1964
(Today I Met) The Boy I'm Gonna Marry,Darlene Love,8.0,39.0,1963-04-03,1963
(We Ain't Got) Nothin' Yet,Blues Magoos,14.0,5.0,1966-12-07,1966
(We'll Be) United,The Intruders,6.0,78.0,1966-07-13,1966
(We've Got) Honey Love,Martha Reeves & The Vandellas,6.0,56.0,1969-04-16,1969
(Welcome) New Lovers,Pat Boone,12.0,18.0,1960-02-17,1960
(What A Sad Way) To Love Someone,Ral Donner,7.0,74.0,1962-03-21,1962
(When She Needs Good Lovin') She Comes To Me,The Chicago Loop,7.0,37.0,1966-11-02,1966
(You Better) Know What You're Doin',Lloyd Price and His Orchestra,2.0,90.0,1960-11-30,1960
(You Can't Let The Boy Overpower) The Man In You,The Miracles,5.0,59.0,1968-03-06,1968
(You Don't Have To) Paint Me A Picture,Gary Lewis And The Playboys,8.0,15.0,1966-10-05,1966
(You Don't Know) How Glad I Am,Nancy Wilson,11.0,11.0,1964-06-24,1964
(You Keep Me) Hangin' On,Joe Simon,15.0,25.0,1968-04-10,1968
(You Make Me Feel Like) A Natural Woman,Aretha Franklin,9.0,8.0,1967-09-27,1967
(You Make Me Feel) So Good,The McCoys,4.0,53.0,1966-07-27,1966
(You Were Made For) All My Love,Jackie Wilson,13.0,12.0,1960-07-06,1960
(You're Gonna) Hurt Yourself,Frankie Valli,7.0,39.0,1966-01-12,1966
(You're My) Soul And Inspiration,The Righteous Brothers,13.0,1.0,1966-03-02,1966
(You're the) Devil In Disguise,Elvis Presley With The Jordanaires,11.0,3.0,1963-06-26,1963
(You've Got To) Move Two Mountains,Marv Johnson,11.0,20.0,1960-08-31,1960
(You've Got) Personality And Chantilly Lace,Mitch Ryder,4.0,87.0,1968-01-31,1968
(Your Love Keeps Lifting Me) Higher And Higher,Jackie Wilson,12.0,6.0,1967-08-09,1967
