artist
The Everly Brothers
Lale Anderson
Paul Anka
The Olympics
Chubby Checker
Nat Kendrick And The Swans
Webb Pierce
Ramrods
Skeeter Davis
Steve Lawrence
Tab Hunter
The Drifters
Chuck Jackson
Gino & Gina
Bill Doggett
Ferrante & Teicher
Tommy Edwards
Elvis Presley
Paul Evans and the Curls
Brian Hyland
Mantovani & His Orchestra
Lawrence Welk And His Orchestra
Henry Mancini And His Orchestra
Dorsey Burnette
Pat Boone
Lloyd Price and His Orchestra
Marv Johnson
The Crests
The Big Sound Of Don Ralke
Johnny Mathis
Jimmy Witter
The Limeliters
Ike & Tina Turner
The Chordettes
Scott Garrett
Dale Hawkins
Gene McDaniels
Jimmy Clanton
The Jarmels
Jack Scott
Dion & The Belmonts
Clyde McPhatter
Frankie Avalon
Little Anthony And The Imperials
Dinah Washington & Brook Benton
Andy Stewart
Denny Reed
Anita Bryant
The Heartbeats
Kathy Young
Jerry Wallace
The Kingston Trio
Fabian
Bing Crosby
Cannonball Adderley Orchestra
The Miracles
Fats Domino
Frankie Ford
Johnny Cash
Hollywood Argyles
Chuck Berry
Faron Young
The Coasters
Peggy Lee
David Seville And The Chipmunks
Sammy Turner
Jim Reeves
Debbie Reynolds
Linda Laurie
Connie Francis
Ronnie Savoy
Jimmy Darren
Johnny Ferguson
Jorgen Ingmann & His Guitar
Teresa Brewer
June Valli
Jaye P. Morgan
Jimmie Rodgers
Bobby Darin
Adam Wade
Johnny Nash
Kokomo
Dee Clark
The Echoes
Little Richard
Buzz Clifford
Jan & Dean
Mickey & Sylvia
Dorothy Collins
The Rondels
Marty Wilde
Graduates
Marty Robbins
Jan And Kjeld
The Temptations
The Regents
The Mormon Tabernacle Choir
Fred Darian
The Kirby Stone Four
Paris Sisters
Roger Smith
Johnny And The Hurricanes
Sir Chauncey and his exciting strings
Duane Eddy And The Rebels
The Playmates
Louis Prima And Keely Smith
Royal Teens
Billy & Lillie
The Starlets
Bobby Freeman
Jerry Fuller
Johnny Burnette
Big Bopper
Jimmy Reed
The Redjacks
Jill Corey
The Four Preps
Claude King
Danny Valentino
Nicola Paone
Tony Orlando
Don Gibson
The Browns Featuring Jim Edward Brown
Billy Vaughn And His Orchestra
The Marcels
Tommy Sands And The Raiders
Bill Black's Combo
The Statues
Mitch Miller and his Orchestra and Chorus
Neil Scott
Al Caiola And His Orchestra
Billy Grammer
Preston Epps
Chet Atkins
Boyd Bennett
B. Bumble & The Stingers
Stan Robinson
Poni-Tails
Bobby Helms
The String-A-Longs
Jerry Lee Lewis And His Pumping Piano
Jivin' Gene And The Jokers
Sarah Vaughan
The Piltdown Men
Paul Peek
The Fireballs
Cyclones
The Applejacks
Clarence Henry
Freddy Cannon
Jimmy Bowen
Mary Wells
Conway Twitty
Eddie Cochran
Neil Sedaka
Joe Jones
Etta Jones
Roy Orbison
Mitchell Torok
The Johnny Otis Show
Boots Brown And His Blockbusters
Sam Cooke
The Dubs
The Champs
The Sevilles
Ernie Fields & Orch.
Bobby Rydell
Charlie Mccoy
Skip And Flip
Jerry Murad's Harmonicats
Addrisi Brothers
Ronnie Love And His Orchestra
Eddy Arnold
Jacky Noguez And His Musette Orchestra
The Beau-Marks
Maurice Williams & The Zodiacs
Nat King Cole
Johnny Cash And The Tennessee Two
Tony Dallara
Polly Bergen
The Fleetwoods
Mel Gadson
Ray Peterson
Lolita
Bo Diddley
Johnny Preston
Bob Beckham
Johnny Otis
The Knightsbridge Strings
Bobby Bland
Janice Harper
Shep And The Limelites
Betty Madigan
The Bobbettes
Sil Austin
The Knockouts
Al Martino
Johnny Crawford
Wink Martindale
Perry Como
Jim Backus & Friend
Bobby Vee
The Paradons
Andy Williams
Mitch Miller
Lonnie Donegan And His Skiffle Group
Linda Scott
Ruth Brown
Crash Craddock
The Butanes
Debbie Dean
Patti Page
The Mystics
Della Reese
"Huey ""piano"" Smith With His Clowns"
Ritchie Valens
Les Compagnons De La Chanson
Ike Clanton
The Quin-Tones
Etta James
Annette
Johnny Tillotson
Junior Parker
Brenda Lee
Walter Brennan
Dinah Washington
Buddy Holly
Wade Flemons
The Platters
The Four Lads
Jody Reynolds
Brook Benton
Thomas Wayne
Earl Grant
Pips
Bob Kayli
Carl Dobkins
Jr.
Buster Brown
Jerry Butler
Tony Bennett
Cathy Carr
Ben E. King
The Royaltones
The Gaylords
The Frantics
The Crickets
Kay Starr
Ed Townsend
Jerry Butler and The Impressions
The Little Dippers
Kalin Twins
Ronnie Hawkins
Frank Sinatra
The Intruders
Lord Rockingham's XI
The Brothers Four
The Tradewinds
Jan & Arnie
The Wild-Cats
George Hamilton IV
Ray Charles
Van Dykes
Sonny Spencer
Paul Dino
Ral Donner
Tennessee Ernie Ford
The Roommates
Jerry Vale
Count Basie & His Orch.
James Booker
Jimmy Jones
Kathy Linden
Billy Williams
Frank Gallup
Bobby Day
Stan Freberg
The Texans
Carl Smith
Jesse Belvin
The Virtues
Marvin Rainwater
Jane Morgan
Freddie Cannon
Jackie Lee
The Diamonds
Paul Evans
The Viscounts
Billy Bland
Del Shannon
Dion
Jeanne Black
The Cleftones
Guy Mitchell
Jerry Keller
Wade Flemons and the Newcomers
Wyatt (Earp) McPherson
Oscar McLollie and Jeanette Baker
The Four Esquires
"Frank Sinatra ""and a bunch of kids"""
Tommy Facenda
The Delacardos
The Innocents
Joe Turner
Narvel Felts
Betty Johnson
Santo & Johnny
Charlie Ryan and the Timberline Riders
Miss Toni Fisher
Ella Fitzgerald
Little Caesar and The Romans
Timi Yuro
Robert & Johnny
The Fireflies Featuring Ritchie Adams
Marie & Rex
LaVern Baker
The Bluenotes
James Brown And The Famous Flames
The Teddy Bears
Ella Johnson
Tex Ritter
Patsy Cline
Sonny James
Ricky Nelson
The Mark IV
Ann-Margret
Joe Medlin
The Enchanters
Chris Kenner
Little Bill and The Bluenotes
Nina Simone
